num_bits,private_set_digits,private_set_size,min_expected_cycles,T_exp,T_baseline_comp,T_input_size_comp,T_private_set_comp,RequestSize,RequestTime,SolveTime,SubmitTime,IntersectionSize
64,4,100,0,11,0,0,0,1,0,5,0,0
64,4,100,0,12,0,0,0,1,0,10,0,0
64,4,100,0,13,0,0,0,1,0,20,0,0
64,4,100,0,14,0,0,0,1,0,43,0,0
64,4,100,0,15,0,0,0,1,0,89,0,0
128,4,100,0,5,0,0,0,1,0,0,0,0
128,4,100,0,6,0,0,0,1,0,0,0,0
128,4,100,0,7,0,0,0,1,0,0,0,0
128,4,100,0,8,0,0,0,1,0,1,0,0
128,4,100,0,9,0,0,0,1,0,2,0,0
128,4,100,0,10,0,0,0,1,0,4,0,0
128,4,100,0,11,0,0,0,1,0,9,0,0
128,4,100,0,12,0,0,0,1,0,17,0,0
128,4,100,0,13,0,0,0,1,0,35,0,0
128,4,100,0,14,0,0,0,1,0,68,0,0
128,4,100,0,15,0,0,0,1,0,140,0,0
256,4,100,0,5,0,0,0,1,0,0,0,0
256,4,100,0,6,0,0,0,1,0,0,0,0
256,4,100,0,7,0,0,0,1,0,1,0,0
256,4,100,0,8,0,0,0,1,0,2,0,0
256,4,100,0,9,0,0,0,1,0,4,1,0
256,4,100,0,10,0,0,0,1,0,8,1,0
256,4,100,0,11,0,0,0,1,0,15,1,0
256,4,100,0,12,0,0,0,1,0,34,1,0
256,4,100,0,13,0,0,0,1,0,66,1,0
256,4,100,0,14,0,0,0,1,0,139,1,0
256,4,100,0,15,0,0,0,1,0,274,1,0
512,4,100,0,5,0,0,0,1,0,0,0,0
512,4,100,0,6,0,0,0,1,0,1,0,0
512,4,100,0,7,0,0,0,1,0,2,0,0
512,4,100,0,8,0,0,0,1,0,5,1,0
512,4,100,0,9,0,0,0,1,0,11,2,0
512,4,100,0,10,0,0,0,1,0,23,5,0
512,4,100,0,11,0,0,0,1,0,49,5,0
512,4,100,0,12,0,0,0,1,0,117,5,0
512,4,100,0,13,0,0,0,1,0,180,5,0
512,4,100,0,14,0,0,0,1,0,358,5,0
512,4,100,0,15,0,0,0,1,0,718,5,0
1024,4,100,0,5,0,0,0,1,0,2,1,0
1024,4,100,0,6,0,0,0,1,0,5,1,0
1024,4,100,0,7,0,0,0,1,0,12,1,0
1024,4,100,0,8,0,0,0,1,0,20,3,0
1024,4,100,0,9,0,0,0,1,0,42,5,0
1024,4,100,0,10,0,0,0,1,0,73,9,0
1024,4,100,0,11,0,0,0,1,0,136,24,0
1024,4,100,0,12,0,0,0,1,0,335,24,0
1024,4,100,0,13,0,0,0,1,0,701,24,0
1024,4,100,0,14,0,0,0,1,0,1077,24,0
1024,4,100,0,15,0,0,0,1,0,2371,24,0
64,4,100,0,5,0,0,0,1,0,0,0,0
64,4,100,0,6,0,0,0,1,0,0,0,0
64,4,100,0,7,0,0,0,1,0,0,0,0
64,4,100,0,8,0,0,0,1,0,0,0,0
64,4,100,0,9,0,0,0,1,0,1,0,0
64,4,100,0,10,0,0,0,1,0,2,0,0
64,4,100,0,11,0,0,0,1,0,5,0,0
64,4,100,0,12,0,0,0,1,0,10,0,0
64,4,100,0,13,0,0,0,1,0,21,0,0
64,4,100,0,14,0,0,0,1,0,42,0,0
64,4,100,0,15,0,0,0,1,0,85,0,0
128,4,100,0,5,0,0,0,1,0,0,0,0
128,4,100,0,6,0,0,0,1,0,0,0,0
128,4,100,0,7,0,0,0,1,0,0,0,0
128,4,100,0,8,0,0,0,1,0,1,0,0
128,4,100,0,9,0,0,0,1,0,2,0,0
128,4,100,0,10,0,0,0,1,0,4,0,0
128,4,100,0,11,0,0,0,1,0,8,0,0
128,4,100,0,12,0,0,0,1,0,18,0,0
128,4,100,0,13,0,0,0,1,0,35,0,0
128,4,100,0,14,0,0,0,1,0,71,0,0
128,4,100,0,15,0,0,0,1,0,144,0,0
256,4,100,0,5,0,0,0,1,0,0,0,0
256,4,100,0,6,0,0,0,1,0,0,0,0
256,4,100,0,7,0,0,0,1,0,1,0,0
256,4,100,0,8,0,0,0,1,0,2,0,0
256,4,100,0,9,0,0,0,1,0,4,1,0
256,4,100,0,10,0,0,0,1,0,8,1,0
256,4,100,0,11,0,0,0,1,0,17,1,0
256,4,100,0,12,0,0,0,1,0,39,1,0
256,4,100,0,13,0,0,0,1,0,66,1,0
256,4,100,0,14,0,0,0,1,0,131,1,0
256,4,100,0,15,0,0,0,1,0,286,1,0
512,4,100,0,5,0,0,0,1,0,0,0,0
512,4,100,0,6,0,0,0,1,0,1,0,0
512,4,100,0,7,0,0,0,1,0,2,0,0
512,4,100,0,8,0,0,0,1,0,6,1,0
512,4,100,0,9,0,0,0,1,0,11,2,0
512,4,100,0,10,0,0,0,1,0,27,7,0
512,4,100,0,11,0,0,0,1,0,51,5,0
512,4,100,0,12,0,0,0,1,0,103,5,0
512,4,100,0,13,0,0,0,1,0,161,5,0
512,4,100,0,14,0,0,0,1,0,430,5,0
512,4,100,0,15,0,0,0,1,0,814,5,0
1024,4,100,0,5,0,0,0,1,0,2,1,0
1024,4,100,0,6,0,0,0,1,0,5,1,0
1024,4,100,0,7,0,0,0,1,0,8,1,0
1024,4,100,0,8,0,0,0,1,0,21,3,0
1024,4,100,0,9,0,0,0,1,0,44,5,0
1024,4,100,0,10,0,0,0,1,0,87,9,0
1024,4,100,0,11,0,0,0,1,0,142,24,0
1024,4,100,0,12,0,0,0,1,0,356,24,0
1024,4,100,0,13,0,0,0,1,0,620,24,0
1024,4,100,0,14,0,0,0,1,0,1191,23,0
1024,4,100,0,15,0,0,0,1,0,2605,24,0
